Month,FiscalSentimentIndex
1992-01,-0.022780573
1992-02,-0.022083858
1992-03,-0.020970697
1992-04,-0.028282015
1992-05,-0.020051531
1992-06,-0.016760206
1992-07,-0.014613729
1992-08,-0.028375713
1992-09,-0.035184093
1992-10,-0.027309148
1992-11,-0.028210813
1992-12,-0.02289444
1993-01,-0.031899255
1993-02,-0.02514453
1993-03,-0.032217473
1993-04,-0.028120687
1993-05,-0.030888116
1993-06,-0.02331307
1993-07,-0.02509746
1993-08,-0.021376299
1993-09,-0.018802196
1993-10,-0.02120977
1993-11,-0.01887614
1993-12,-0.016225161
1994-01,-0.024891634
1994-02,-0.02630338
1994-03,-0.022727631
1994-04,-0.022215163
1994-05,-0.015492092
1994-06,-0.026482128
1994-07,-0.031015854
1994-08,-0.025692029
1994-09,-0.016525462
1994-10,-0.015004503
1994-11,-0.015185634
1994-12,-0.017858706
1995-01,-0.035255566
1995-02,-0.03171986
1995-03,-0.0404792
1995-04,-0.030628864
1995-05,-0.021882497
1995-06,-0.023384104
1995-07,-0.017055567
1995-08,-0.0176169
1995-09,-0.021948077
1995-10,-0.016516935
1995-11,-0.013829312
1995-12,-0.015905527
1996-01,-0.021115068
1996-02,-0.020051196
1996-03,-0.019346582
1996-04,-0.018858254
1996-05,-0.01520415
1996-06,-0.02112713
1996-07,-0.017386207
1996-08,-0.015859691
1996-09,-0.015073648
1996-10,-0.014197291
1996-11,-0.017999928
1996-12,-0.014440183
1997-01,-0.016248329
1997-02,-0.011982451
1997-03,-0.013750519
1997-04,-0.02160637
1997-05,-0.01706502
1997-06,-0.013685373
1997-07,-0.013338606
1997-08,-0.014551669
1997-09,-0.01567049
1997-10,-0.017099755
1997-11,-0.01525421
1997-12,-0.013811809
1998-01,-0.013141376
1998-02,-0.015678156
1998-03,-0.015372283
1998-04,-0.0122951325
1998-05,-0.0120814815
1998-06,-0.014257796
1998-07,-0.013631422
1998-08,-0.018701928
1998-09,-0.017391363
1998-10,-0.014701134
1998-11,-0.019098435
